Date,Location,Humidity (%),Temperature (°C),Soil Moisture (%),Rainfall (mm),pH Level,Light Intensity (lux),Disease Status
01-01-2024,Himachal Pradesh,95.9,32.4,63.1,13.7,7.4,6077.3,Healthy
02-01-2024,Punjab,83.6,28.4,55.2,44.8,7.3,9491.3,Bacterial Wilt
03-01-2024,Karnataka,57.7,33.2,47.2,114.1,6.5,4178.3,Tomato Leaf Mold
04-01-2024,Karnataka,86.7,27.4,64.3,119.3,7.5,3479.8,Bacterial Wilt
05-01-2024,Maharashtra,61.3,32.2,64.2,69.6,5.7,4960.5,Bacterial Wilt
06-01-2024,Himachal Pradesh,84.3,28.6,47.8,75.8,6.1,4249.7,Pepper Bell Spot
07-01-2024,Punjab,86.7,18.3,57.2,69.9,6.4,9308.2,Tomato Leaf Mold
08-01-2024,Karnataka,65.5,17.1,61.6,37.8,7.1,5001.2,Late Blight
09-01-2024,Kerala,85.6,17,67.5,59.5,7.3,3871,Tomato Leaf Mold
10-01-2024,Kerala,65.6,34.8,78.8,10.6,7.3,8596,Tomato Leaf Mold
11-01-2024,Kerala,70,31.9,56.5,126.2,6.8,6013.2,Late Blight
12-01-2024,Maharashtra,68.9,34.8,43.6,46.9,7.1,8763.1,Healthy
13-01-2024,Karnataka,52.6,20.9,79,58.7,6.1,7202.6,Bacterial Wilt
14-01-2024,Punjab,64.1,21.4,49.4,71.4,6.5,8627.2,Tomato Leaf Mold
15-01-2024,Karnataka,96.7,16,47.5,1.6,5.7,7236.2,Pepper Bell Spot
16-01-2024,Karnataka,94.7,31.1,43.9,139,6.7,8816.2,Pepper Bell Spot
17-01-2024,Kerala,72.6,25.7,63.4,2.9,6.3,9869.1,Bacterial Wilt
18-01-2024,Karnataka,78.8,20.3,57,11.7,5.6,8431.9,Healthy
19-01-2024,Maharashtra,72.4,28,53.9,70.8,7,6570.1,Late Blight
20-01-2024,Kerala,60.3,34,55.5,59,6.1,3326.8,Bacterial Wilt
21-01-2024,Punjab,94.8,30.6,76.4,136.3,6.2,3740.3,Tomato Leaf Mold
22-01-2024,Maharashtra,67.2,18.2,45.5,22.5,6.1,4205.2,Late Blight
23-01-2024,Karnataka,89.2,20.5,45.3,83.7,7.1,9527.9,Late Blight
24-01-2024,Karnataka,90.4,19.9,69.2,103.2,6.4,6448.3,Tomato Leaf Mold
25-01-2024,Maharashtra,55.8,17.9,70.7,53.3,7.4,7017.3,Pepper Bell Spot
26-01-2024,Himachal Pradesh,71.1,20.8,62,48.9,7,4082.3,Healthy
27-01-2024,Maharashtra,74.9,28,53,67.2,6.5,8951.4,Pepper Bell Spot
28-01-2024,Himachal Pradesh,82.8,20.9,59.3,132.4,5.5,5837.6,Healthy
29-01-2024,Punjab,52.7,27,76.6,9.6,7.2,4055.7,Bacterial Wilt
30-01-2024,Himachal Pradesh,77.8,22.9,46.6,101,5.9,4189.5,Tomato Leaf Mold
31-01-2024,Himachal Pradesh,66.9,22.4,57.4,87.7,7.5,9745.8,Late Blight
01-02-2024,Kerala,65.5,33,66.4,4.8,6.7,7321.3,Tomato Leaf Mold
